pos,country_code,region_code,PourcentDeathAttribuableEnv,Per100000AirPol,Per100000Chemi,Per100000Water,Per100000UV,country_name,region_name,WorldBankincome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,"
152,SEN,AFR,0.21,74.30325,2.27423,23.869,1.12,Senegal,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,SGP,WPR,0.13,39.32656,0.08205,0.066,0.87,Singapore,Western Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,SLB,WPR,0.21,66.89928,0.9362,6.176,0.34,Solomon Islands,Western Pacific,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,SLE,AFR,0.24,147.98648,4.13,81.293,0.91,Sierra Leone,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,SLV,AMR,0.17,42.42486,0.22821,2.005,0.6,El Salvador,Americas,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,SMR,EUR,0.07,,,,2.82,San Marino,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,SOM,EMR,0.24,152.04871,4.57784,86.575,0.97,Somalia,Eastern Mediterranean,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,SRB,EUR,0.15,121.52152,0.33351,0.737,,Republic of Serbia,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,
160,SSD,AFR,0.22,109.18971,3.98943,63.287,,South Sudan,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,
161,STP,AFR,0.19,81.86382,0.86361,11.361,0.8,Sao Tome and Principe,Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,SUR,AMR,0.16,50.6272,0.37307,2.007,0.2,Suriname,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,SVK,EUR,0.16,59.05878,0.35801,0.045,2.5,Slovakia,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,SVN,EUR,0.13,56.76497,0.29316,0.021,3.73,Slovenia,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,SWE,EUR,0.1,18.49115,0.3837,0.215,3.76,Sweden,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,SWZ,AFR,0.17,68.64851,3.30582,27.893,3.14,Swaziland,Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,SYC,AFR,0.14,56.41708,0.56426,0.169,0.86,Seychelles,Africa,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,SYR,EMR,0.13,43.56659,0.37744,3.665,0.24,Syria,Eastern Mediterranean,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,TCD,AFR,0.26,180.93909,3.5872,101.043,0.86,Chad,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,TGO,AFR,0.24,114.8542,2.39382,41.633,0.69,Togo,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,THA,SEAR,0.19,84.6127,0.40809,3.507,0.37,Thailand,South-East Asia,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,TJK,EUR,0.23,70.49281,1.18318,2.7,0.5,Tajikistan,Europe,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,TKM,EUR,0.25,51.35366,0.7407,3.978,0.75,Turkmenistan,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,TLS,SEAR,0.23,76.62543,0.42562,9.913,0.24,Timor,South-East Asia,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,TON,WPR,0.13,56.5617,1.33443,1.425,,Tonga,Western Pacific,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,
176,TTO,AMR,0.1,44.80718,0.24146,0.142,0.36,Trinidad and Tobago,Americas,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,TUN,EMR,0.18,57.39027,0.46363,1.015,0.51,Tunisia,Eastern Mediterranean,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,TUR,EUR,0.18,46.15403,0.3093,0.296,0.57,Turkey,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,TUV,WPR,0.13,,,0.96,,Tuvalu,Western Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,TZA,AFR,0.22,75.04659,2.69236,38.403,1.2,United Republic of Tanzania,Africa,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
181,UGA,AFR,0.23,73.88557,3.17973,31.559,0.63,Uganda,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,UKR,EUR,0.2,136.53622,2.54603,0.269,2.5,Ukraine,Europe,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,URY,AMR,0.1,32.30116,0.4069,0.36,2.46,Uruguay,Americas,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,USA,AMR,0.11,24.07045,0.90407,0.232,2.93,United States of America,Americas,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
185,UZB,EUR,0.24,54.10076,1.03475,0.442,0.6,Uzbekistan,Europe,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,VCT,AMR,0.15,47.89988,0.18831,1.333,0.04,Saint Vincent and the Grenadines,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,VEN,AMR,0.18,28.94995,0.28764,1.39,0.99,Venezuela,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,VNM,WPR,0.25,65.14297,0.91622,1.621,0.13,Viet Nam,Western Pacific,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,VUT,WPR,0.21,75.76431,0.85017,10.418,0.47,Vanuatu,Western Pacific,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,WSM,WPR,0.15,62.26196,0.49645,1.489,0.7,Samoa,Western Pacific,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,YEM,EMR,0.19,89.75099,3.7715,10.203,0.69,Yemen,Eastern Mediterranean,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,ZAF,AFR,0.16,61.06443,1.23513,13.669,0.91,South Africa,Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,ZMB,AFR,0.23,63.39138,2.94165,34.913,1.09,Zambia,Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,ZWE,AFR,0.19,66.66685,2.23005,24.551,0.79,Zimbabwe,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
