pos,country_code,region_code,PourcentDeathAttribuableEnv,Per100000AirPol,Per100000Chemi,Per100000Water,Per100000UV,country_name,region_name,WorldBankincome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,"
37,COG,AFR,0.25,72.79668,1.2253,38.709,0.93,Republic of Congo,Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,COK,WPR,0.13,,,,0.61,Cook Islands,Western Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,COL,AMR,0.17,34.37318,0.36515,0.753,0.68,Colombia,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,COM,AFR,0.25,93.66477,2.36921,50.737,0.87,Comoros,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CPV,AFR,0.21,68.56724,0.51041,4.137,0.98,Cape Verde,Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CRI,AMR,0.15,26.90476,0.29214,0.864,2.17,Costa Rica,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CUB,AMR,0.15,89.87508,0.31294,1.026,2.43,Cuba,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CYP,EUR,0.13,32.64901,0.10154,0.279,1.33,Cyprus,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CZE,EUR,0.15,64.29868,0.29731,0.179,3.65,Czech Republic,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,DEU,EUR,0.11,45.27283,0.15226,0.587,2.74,Germany,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,DJI,EMR,0.18,98.98411,2.35191,31.286,0.73,Djibouti,Eastern Mediterranean,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
